county,countyConfirmed,countyDeaths,state
Wabasha County,4,0,MN
Lumpkin County,4,0,GA
Cecil County,4,0,MD
Washington County,4,0,NE
Unassigned,4.0,0.0,MN
Madison County,4,0,IN
Jennings County,4,0,IN
Pickens County,4,0,GA
Silver Bow County,4,0,MT
St. Mary's County,4,0,MD
Washington County,4,0,MD
Lewis and Clark County,4,0,MT
Montrose County,4,0,CO
East Feliciana Parish,4,0,LA
Yuma County,4,0,AZ
Crisp County,4,0,GA
Cherokee County,4,0,NC
Bradley County,4,0,AR
Baldwin County,4,0,AL
Richland County,4,0,OH
Dorchester County,4,0,SC
Marion County,4,0,OH
Coshocton County,4,0,OH
Columbiana County,4,0,OH
Colquitt County,4,0,GA
Franklin County,4,0,VT
Midland County,4,1,TX
Muskogee County,4,0,OK
Butte County,4,0,CA
Chilton County,4,0,AL
Pulaski County,4,0,MO
Newport News County,4,1,VA
Bay County,4,0,MI
Franklin County,4,0,MO
Eaton County,4,0,MI
Tallapoosa County,4,0,AL
Unassigned,4.0,0.0,MO
Cedar County,4,0,IA
Cape May County,4,0,NJ
Washington County,4,0,NY
Tama County,4,0,IA
Portage County,4,0,OH
Geauga County,4,0,OH
Poweshiek County,4,0,IA
Charlevoix County,4,0,MI
Lebanon County,4,0,PA
Peoria County,4,0,IL
Yuba County,3,0,CA
Chenango County,3,0,NY
Talladega County,3,0,AL
Custer County,3,0,OK
Garrett County,3,0,MD
Pottawattamie County,3,0,IA
Cleveland County,3,0,AR
Douglas County,3,0,NV
Madison County,3,0,IL
Marshall County,3,0,AL
Isabella County,3,0,MI
Chesterfield County,3,0,SC
Abbeville County,3,0,SC
Stark County,3,0,ND
Dodge County,3,0,WI
Greene County,3,0,PA
Woodford County,3,0,IL
Iowa County,3,0,WI
Pulaski County,3,0,KY
Pierce County,3,0,WI
Jefferson County,3,0,WV
Harrison County,3,0,WV
Ward County,3,0,ND
Cape Girardeau County,3,0,MO
Carbon County,3,0,WY
Osage County,3,0,OK
Fairfield County,3,0,SC
Cowlitz County,3,0,WA
Hancock County,3,0,IA
Ramsey County,3,0,ND
Cumberland County,3,0,NJ
Grand Traverse County,3,0,MI
Logan County,3,0,OK
Harrison County,3,0,IA
Cortland County,3,0,NY
Lincoln County,3,0,NE
Nicollet County,3,0,MN
Brown County,3,0,WI
Rock Island County,3,0,IL
Pontotoc County,3,0,MS
Montcalm County,3,0,MI
Shenandoah County,3,0,VA
Polk County,3,0,OR
Rockingham County,3,0,VA
Mercer County,3,0,PA
Portsmouth County,3,0,VA
Butler County,3,0,KS
Bannock County,3,0,ID
Winston County,3,0,MS
Mecklenburg County,3,0,VA
Yalobusha County,3,0,MS
Yazoo County,3,0,MS
Louisa County,3,0,VA
LaSalle County,3,0,IL
Otsego County,3,0,NY
El Dorado County,3,0,CA
Harrisonburg County,3,0,VA
Tooele County,3,0,UT
Goochland County,3,0,VA
Spotsylvania County,3,0,VA
Newton County,3,0,MO
Adams County,3,0,MS
Lapeer County,3,0,MI
Grant County,3,0,AR
Independence County,3,0,AR
Calhoun County,3,0,MS
Lancaster County,3,0,NE
Etowah County,3,0,AL
Shasta County,3,1,CA
Columbia County,3,0,PA
Taos County,3,0,NM
McKinley County,3,0,NM
Siskiyou County,3,0,CA
Itawamba County,3,0,MS
Lauderdale County,3,0,MS
Orange County,3,0,VT
Comanche County,3,0,OK
Poinsett County,3,0,AR
Jefferson County,3,0,NY
Livingston County,3,0,NY
Muskegon County,3,0,MI
Orleans County,3,0,VT
Douglas County,3,0,OR
Monroe County,3,0,MS
Shawnee County,3,0,KS
Bedford County,3,0,VA
Licking County,3,0,OH
Fayette County,3,0,IN
Greene County,3,0,OH
Blount County,3,0,TN
Bradley County,3,0,TN
Watauga County,3,0,NC
Wayne County,3,0,NC
Clear Creek County,3,0,CO
Monroe County,3,0,GA
Dearborn County,3,0,IN
Chaffee County,3,0,CO
Carroll County,3,0,TN
Jasper County,3,1,IN
Morehouse Parish,3,0,LA
Gibson County,3,0,IN
Carroll County,3,0,OH
Belmont County,3,0,OH
Grant County,3,0,IN
Ashtabula County,3,0,OH
Cumberland County,3,0,TN
Gregg County,3,0,TX
Iberia Parish,3,0,LA
Anderson County,3,0,TN
Acadia Parish,3,0,LA
Randolph County,3,0,NC
Columbia County,3,0,FL
Craven County,3,0,NC
Bertie County,3,0,NC
Beaufort County,3,0,NC
Davidson County,3,0,NC
Beauregard Parish,3,0,LA
Alamance County,3,0,NC
Wood County,3,0,OH
Union County,3,0,OH
Tuscarawas County,3,0,OH
Bay County,3,0,FL
Butts County,3,0,GA
Brown County,3,0,TX
Dawson County,3,0,GA
Morgan County,3,0,CO
Charlotte County,3,0,FL
Potter County,3,0,TX
Pueblo County,3,0,CO
Bryan County,3,0,GA
Elbert County,3,0,CO
Lamar County,3,0,GA
Caldwell County,3,0,NC
Fayette County,3,0,TN
Houston County,3,0,TN
Kendall County,3,0,TX
Waller County,3,0,TX
Wharton County,3,0,TX
Lincoln Parish,3,0,LA
Warrick County,3,0,IN
Loudon County,3,0,TN
Victoria County,3,0,TX
Effingham County,3,0,GA
Terry County,3,0,TX
Vigo County,3,0,IN
Johnson County,3,0,TX
Washington County,3,0,IN
Bradford County,2,0,PA
Eastland County,2,0,TX
Deaf Smith County,2,0,TX
DeWitt County,2,0,TX
Randall County,2,0,TX
Clearfield County,2,0,PA
Benton County,2,0,IA
Schoharie County,2,0,NY
St. Francois County,2,0,MO
Logan County,2,0,CO
Dallas County,2,0,AL
McMinn County,2,0,TN
Madison County,2,0,OH
Tioga County,2,0,NY
Franklin County,2,0,AL
Houston County,2,0,AL
Llano County,2,0,TX
Jackson County,2,1,AL
Hamblen County,2,0,TN
Kalkaska County,2,0,MI
Monroe County,2,0,TN
Calhoun County,2,0,AL
St. Martin Parish,2,0,LA
Blount County,2,0,AL
Chambers County,2,0,TX
Isle of Wight County,2,0,VA
Rockwall County,2,0,TX
Lee County,2,0,VA
Burke County,2,0,NC
Lynchburg County,2,0,VA
Atascosa County,2,0,TX
Manassas County,2,0,VA
Rio Arriba County,2,0,NM
Story County,2,0,IA
Sioux County,2,0,IA
Mendocino County,2,0,CA
Madison County,2,0,TN
Prince Edward County,2,0,VA
Merced County,2,0,CA
Bastrop County,2,0,TX
Rockbridge County,2,0,VA
Desha County,2,0,AR
Woodbury County,2,0,IA
Hamilton County,2,0,NY
Logan County,2,0,OH
Calhoun County,2,0,TX
Milam County,2,0,TX
Reno County,2,0,KS
Okmulgee County,2,0,OK
Perry County,2,0,MO
Coffee County,2,0,GA
Teton County,2,0,ID
Rice County,2,0,MN
Madison County,2,0,ID
Clinton County,2,0,OH
Clark County,2,0,OH
Georgetown County,2,0,SC
Emmet County,2,0,MI
Greenwood County,2,0,SC
St. Lawrence County,2,0,NY
Jasper County,2,0,SC
Sullivan County,2,0,TN
Lee County,2,0,SC
Jefferson County,2,0,ID
Clay County,2,0,MO
Oconee County,2,0,SC
Dyer County,2,0,TN
Callaway County,2,0,MO
Grayson County,2,0,TX
Hardin County,2,0,TX
Windham County,2,0,CT
Bingham County,2,0,ID
Warren County,2,0,NY
Grimes County,2,0,TX
Waldo County,2,0,ME
Defiance County,2,0,OH
Gladwin County,2,0,MI
Sevier County,2,0,TN
Moniteau County,2,0,MO
Jasper County,2,0,IA
Parker County,2,0,TX
Cerro Gordo County,2,0,IA
Morris County,2,0,KS
Mitchell County,2,0,KS
Knox County,2,0,OH
Waseca County,2,0,MN
Carbon County,2,0,PA
Orleans County,2,0,NY
Huron County,2,0,OH
Chisago County,2,0,MN
Ionia County,2,0,MI
Campbell County,2,0,TN
Natchitoches Parish,2,0,LA
Wilcox County,2,0,AL
Kaufman County,2,0,TX
Lafayette County,2,0,MO
Johnson County,2,0,MO
