,ds,region,percent_ill
897,2017-12-21,12086,2.32301848618492
265,2017-12-22,12086,2.19908832215237
898,2017-12-23,12086,2.16215487079257
266,2017-12-24,12086,1.97150765662637
899,2017-12-25,12086,2.07062604162843
267,2017-12-26,12086,2.14492412526227
268,2017-12-27,12086,1.84573601270692
269,2017-12-28,12086,2.43572474607014
270,2017-12-29,12086,2.54357422788907
900,2017-12-30,12086,2.56177538613402
271,2017-12-31,12086,2.60393769767133
901,2018-01-01,12086,2.894310891161
902,2018-01-02,12086,2.57228905258093
903,2018-01-03,12086,2.8735510138175
904,2018-01-04,12086,3.07213113879135
905,2018-01-05,12086,2.97194634071636
272,2018-01-06,12086,2.87251625950113
273,2018-01-07,12086,2.57265502955588
906,2018-01-08,12086,2.67153822666801
274,2018-01-09,12086,2.44103114583866
907,2018-01-10,12086,2.550076403483
275,2018-01-11,12086,3.03669097885762
276,2018-01-12,12086,3.4233962051093
908,2018-01-13,12086,3.3317463370534
909,2018-01-14,12086,3.37070124635823
910,2018-01-15,12086,3.65299651117888
911,2018-01-16,12086,4.04194046932244
912,2018-01-17,12086,4.40471205270904
913,2018-01-18,12086,3.90179019518766
914,2018-01-19,12086,4.29813732456855
915,2018-01-20,12086,3.8002486665048
916,2018-01-21,12086,3.98371412335155
917,2018-01-22,12086,4.16094563059044
918,2018-01-23,12086,4.69987970300307
919,2018-01-24,12086,4.65463074201604
920,2018-01-25,12086,4.94527429972388
921,2018-01-26,12086,5.27914758312581
277,2018-01-27,12086,5.04790648718122
922,2018-01-28,12086,5.71060000822853
923,2018-01-29,12086,6.27231299857272
278,2018-01-30,12086,6.38452004297715
279,2018-01-31,12086,6.40405185539071
280,2018-02-01,12086,6.25514586978424
281,2018-02-02,12086,6.48040760292619
282,2018-02-03,12086,6.51447982970519
283,2018-02-04,12086,7.19747688384185
924,2018-02-05,12086,7.61854279195918
284,2018-02-06,12086,7.73184383012687
285,2018-02-07,12086,7.4690485383835
286,2018-02-08,12086,7.52859992413969
287,2018-02-09,12086,7.59070189435319
925,2018-02-10,12086,7.02836596634361
926,2018-02-11,12086,6.61704313822753
927,2018-02-12,12086,6.15664672780884
288,2018-02-13,12086,5.79101914398949
289,2018-02-14,12086,5.19597172069218
290,2018-02-15,12086,4.46703728389335
291,2018-02-16,12086,4.10734619786
292,2018-02-17,12086,3.99595792067964
928,2018-02-18,12086,4.06343341499674
929,2018-02-19,12086,4.13744391771272
293,2018-02-20,12086,3.68642255940431
294,2018-02-21,12086,3.4891767496234
295,2018-02-22,12086,3.37363299612854
296,2018-02-23,12086,3.3008566712425
297,2018-02-24,12086,3.15473041267374
298,2018-02-25,12086,3.33862595682901
299,2018-02-26,12086,3.10404533487114
300,2018-02-27,12086,2.92791925838273
930,2018-02-28,12086,2.74403142233094
301,2018-03-01,12086,2.53208000871787
931,2018-03-02,12086,2.36813165052148
932,2018-03-03,12086,1.91842931783717
933,2018-03-04,12086,1.78279963868825
934,2018-03-05,12086,1.86869527314795
935,2018-03-06,12086,2.14690212689823
936,2018-03-07,12086,2.15428916896186
937,2018-03-08,12086,1.82384655722246
938,2018-03-09,12086,1.69751789183342
302,2018-03-10,12086,1.77171796000783
303,2018-03-11,12086,1.97271304045604
939,2018-03-12,12086,2.04557382791829
940,2018-03-13,12086,1.69397302702736
304,2018-03-14,12086,1.35191384769451
305,2018-03-15,12086,1.29896780159057
306,2018-03-16,12086,1.22541423121721
307,2018-03-17,12086,1.11840288076708
308,2018-03-18,12086,1.27805494142583
941,2018-03-19,12086,1.45395332495519
942,2018-03-20,12086,1.42702757284951
309,2018-03-21,12086,1.4529782654773
310,2018-03-22,12086,1.45815823492509
311,2018-03-23,12086,1.77958862977907
943,2018-03-24,12086,1.89557888618786
944,2018-03-25,12086,2.05391628767751
312,2018-03-26,12086,2.14504805654026
313,2018-03-27,12086,2.03061934322288
314,2018-03-28,12086,1.82609942240859
315,2018-03-29,12086,1.43652682474932
945,2018-03-30,12086,1.47076267291042
316,2018-03-31,12086,1.47251402230317
317,2018-04-01,12086,1.73043110423815
318,2018-04-02,12086,1.82762941032075
946,2018-04-03,12086,1.92118107545604
319,2018-04-04,12086,2.07396030092002
947,2018-04-05,12086,1.94942863772085
320,2018-04-06,12086,1.63954225106849
321,2018-04-07,12086,1.97344351461364
948,2018-04-08,12086,2.01753683195645
949,2018-04-09,12086,1.77995846830028
950,2018-04-10,12086,1.58863205059538
322,2018-04-11,12086,1.65799748615128
951,2018-04-12,12086,1.74400793661102
952,2018-04-13,12086,1.82355655975247
323,2018-04-14,12086,1.78335512141259
953,2018-04-15,12086,2.01924814452505
324,2018-04-16,12086,1.85884552855859
954,2018-04-17,12086,1.60865867065544
325,2018-04-18,12086,1.68177356991439
955,2018-04-19,12086,1.37290867922019
956,2018-04-20,12086,0.952294264652482
326,2018-04-21,12086,1.18863770930159
327,2018-04-22,12086,1.44333087164356
957,2018-04-23,12086,1.30694652614683
958,2018-04-24,12086,1.29426201677013
328,2018-04-25,12086,1.33117786694364
959,2018-04-26,12086,1.3809001616189
329,2018-04-27,12086,1.36451241153083
330,2018-04-28,12086,1.40289740987686
960,2018-04-29,12086,1.25777932360337
961,2018-04-30,12086,1.23270108041455
331,2018-05-01,12086,1.26075133793566
332,2018-05-02,12086,1.3575790717191
962,2018-05-03,12086,1.27426650901087
333,2018-05-04,12086,1.13252693818005
334,2018-05-05,12086,1.07176161550946
963,2018-05-06,12086,1.15392442765729
964,2018-05-07,12086,0.882664500453755
335,2018-05-08,12086,0.64128058506602
965,2018-05-09,12086,0.683434298747188
966,2018-05-10,12086,0.815864385853755
967,2018-05-11,12086,0.931671763301785
336,2018-05-12,12086,0.987247709447428
337,2018-05-13,12086,1.25004658521634
968,2018-05-14,12086,1.44092055786116
969,2018-05-15,12086,1.73509640673188
970,2018-05-16,12086,2.01826213616744
971,2018-05-17,12086,1.89124483077222
338,2018-05-18,12086,1.81343215208867
339,2018-05-19,12086,1.70697242050144
340,2018-05-20,12086,1.55734569467689
341,2018-05-21,12086,1.48168904241105
